sample,Haul,species_name,mean_length,sum_length,n,origin
534_1,2,Chelidonichthys lucerna,34,34,1,observed
534_1,2,Chimaera monstrosa,34,34,1,observed
534_1,2,Enchelyopus cimbrius,33.7,168.5,5,observed
534_1,2,Eutrigla gurnardus,22.5,22.5,1,observed
534_1,2,Gadus morhua,32.70652174,1504.5,46,observed
534_1,2,Glyptocephalus cynoglossus,23.45,703.5,30,observed
534_1,2,Limanda limanda,18.25,36.5,2,observed
534_1,2,Lophius piscatorius,23.5,47,2,observed
534_1,2,Melanogrammus aeglefinus,24.8,248,10,observed
534_1,2,Merlangius merlangus,29,29,1,observed
534_1,2,Pollachius virens,33.16666667,99.5,3,observed
534_1,2,Trisopterus esmarkii,12,12,1,observed
538_1,3,Hippoglossoides platessoides,21,42,2,observed
538_1,3,Chimaera monstrosa,35,35,1,observed
538_1,3,Clupea harengus,28.5,28.5,1,observed
538_1,3,Enchelyopus cimbrius,26,26,1,observed
538_1,3,Eutrigla gurnardus,20,20,1,observed
538_1,3,Gadus morhua,35.47222222,1277,36,observed
538_1,3,Glyptocephalus cynoglossus,22.275,445.5,20,observed
538_1,3,Limanda limanda,23,23,1,observed
538_1,3,Melanogrammus aeglefinus,26.9,134.5,5,observed
538_1,3,Merluccius merluccius,36,36,1,observed
538_1,3,Molva molva,43,43,1,observed
538_1,3,Phycis blennoides,41.75,83.5,2,observed
538_1,3,Pollachius virens,36.75,73.5,2,observed
538_1,3,Trisopterus esmarkii,16.75,33.5,2,observed
538_2,3,Hippoglossoides platessoides,21,42,2,observed
538_2,3,Chimaera monstrosa,35,35,1,observed
538_2,3,Clupea harengus,28.5,28.5,1,observed
538_2,3,Enchelyopus cimbrius,26,26,1,observed
538_2,3,Eutrigla gurnardus,20,20,1,observed
538_2,3,Gadus morhua,35.47222222,1277,36,observed
538_2,3,Glyptocephalus cynoglossus,22.275,445.5,20,observed
538_2,3,Limanda limanda,23,23,1,observed
538_2,3,Melanogrammus aeglefinus,26.9,134.5,5,observed
538_2,3,Merluccius merluccius,36,36,1,observed
538_2,3,Molva molva,43,43,1,observed
538_2,3,Phycis blennoides,41.75,83.5,2,observed
538_2,3,Pollachius virens,36.75,73.5,2,observed
538_2,3,Trisopterus esmarkii,16.75,33.5,2,observed
538_3,3,Hippoglossoides platessoides,21,42,2,observed
538_3,3,Chimaera monstrosa,35,35,1,observed
538_3,3,Clupea harengus,28.5,28.5,1,observed
538_3,3,Enchelyopus cimbrius,26,26,1,observed
538_3,3,Eutrigla gurnardus,20,20,1,observed
538_3,3,Gadus morhua,35.47222222,1277,36,observed
538_3,3,Glyptocephalus cynoglossus,22.275,445.5,20,observed
538_3,3,Limanda limanda,23,23,1,observed
538_3,3,Melanogrammus aeglefinus,26.9,134.5,5,observed
538_3,3,Merluccius merluccius,36,36,1,observed
538_3,3,Molva molva,43,43,1,observed
538_3,3,Phycis blennoides,41.75,83.5,2,observed
538_3,3,Pollachius virens,36.75,73.5,2,observed
538_3,3,Trisopterus esmarkii,16.75,33.5,2,observed
544_1,4,Hippoglossoides platessoides,18.90909091,208,11,observed
544_1,4,Chelidonichthys lucerna,30,30,1,observed
544_1,4,Enchelyopus cimbrius,24.5,24.5,1,observed
544_1,4,Eutrigla gurnardus,15.75,63,4,observed
544_1,4,Gadus morhua,32.91176471,559.5,17,observed
544_1,4,Glyptocephalus cynoglossus,22.875,91.5,4,observed
544_1,4,Lophius piscatorius,19.83333333,59.5,3,observed
544_1,4,Melanogrammus aeglefinus,23.75,522.5,22,observed
544_1,4,Merlangius merlangus,26.5,26.5,1,observed
544_1,4,Merluccius merluccius,40.5,121.5,3,observed
544_1,4,Mullus barbatus,24.5,24.5,1,observed
544_1,4,Pollachius virens,30.66666667,92,3,observed
544_1,4,Trisopterus esmarkii,12,12,1,observed
544_2,4,Hippoglossoides platessoides,18.90909091,208,11,observed
544_2,4,Chelidonichthys lucerna,30,30,1,observed
544_2,4,Enchelyopus cimbrius,24.5,24.5,1,observed
544_2,4,Eutrigla gurnardus,15.75,63,4,observed
544_2,4,Gadus morhua,32.91176471,559.5,17,observed
544_2,4,Glyptocephalus cynoglossus,22.875,91.5,4,observed
544_2,4,Lophius piscatorius,19.83333333,59.5,3,observed
544_2,4,Melanogrammus aeglefinus,23.75,522.5,22,observed
544_2,4,Merlangius merlangus,26.5,26.5,1,observed
544_2,4,Merluccius merluccius,40.5,121.5,3,observed
544_2,4,Mullus barbatus,24.5,24.5,1,observed
544_2,4,Pollachius virens,30.66666667,92,3,observed
544_2,4,Trisopterus esmarkii,12,12,1,observed
544_3,4,Hippoglossoides platessoides,18.90909091,208,11,observed
544_3,4,Chelidonichthys lucerna,30,30,1,observed
544_3,4,Enchelyopus cimbrius,24.5,24.5,1,observed
544_3,4,Eutrigla gurnardus,15.75,63,4,observed
544_3,4,Gadus morhua,32.91176471,559.5,17,observed
544_3,4,Glyptocephalus cynoglossus,22.875,91.5,4,observed
544_3,4,Lophius piscatorius,19.83333333,59.5,3,observed
544_3,4,Melanogrammus aeglefinus,23.75,522.5,22,observed
544_3,4,Merlangius merlangus,26.5,26.5,1,observed
544_3,4,Merluccius merluccius,40.5,121.5,3,observed
544_3,4,Mullus barbatus,24.5,24.5,1,observed
544_3,4,Pollachius virens,30.66666667,92,3,observed
544_3,4,Trisopterus esmarkii,12,12,1,observed
549_1,5,Hippoglossoides platessoides,15.88,397,25,observed
549_1,5,Callionymus lyra,14.875,59.5,4,observed
549_1,5,Clupea harengus,21.5,21.5,1,observed
549_1,5,Enchelyopus cimbrius,22.16666667,66.5,3,observed
549_1,5,Eutrigla gurnardus,19.5,136.5,7,observed
549_1,5,Gadus morhua,31.61538462,822,26,observed
549_1,5,Glyptocephalus cynoglossus,22.53488372,969,43,observed
549_1,5,Helicolenus dactylopterus,13.5,13.5,1,observed
549_1,5,Limanda limanda,21,21,1,observed
549_1,5,Lophius piscatorius,23.5,47,2,observed
549_1,5,Melanogrammus aeglefinus,21.77777778,196,9,observed
549_1,5,Merlangius merlangus,16.5,16.5,1,observed
549_1,5,Microstomus kitt,21.5,21.5,1,observed
549_1,5,Mullus surmuletus,26.5,26.5,1,observed
549_1,5,Trisopterus esmarkii,12.16666667,36.5,3,observed
549_2,5,Hippoglossoides platessoides,15.88,397,25,observed
549_2,5,Callionymus lyra,14.875,59.5,4,observed
549_2,5,Clupea harengus,21.5,21.5,1,observed
549_2,5,Enchelyopus cimbrius,22.16666667,66.5,3,observed
549_2,5,Eutrigla gurnardus,19.5,136.5,7,observed
549_2,5,Gadus morhua,31.61538462,822,26,observed
549_2,5,Glyptocephalus cynoglossus,22.53488372,969,43,observed
549_2,5,Helicolenus dactylopterus,13.5,13.5,1,observed
549_2,5,Limanda limanda,21,21,1,observed
549_2,5,Lophius piscatorius,23.5,47,2,observed
549_2,5,Melanogrammus aeglefinus,21.77777778,196,9,observed
549_2,5,Merlangius merlangus,16.5,16.5,1,observed
549_2,5,Microstomus kitt,21.5,21.5,1,observed
549_2,5,Mullus surmuletus,26.5,26.5,1,observed
549_2,5,Trisopterus esmarkii,12.16666667,36.5,3,observed
549_3,5,Hippoglossoides platessoides,15.88,397,25,observed
549_3,5,Callionymus lyra,14.875,59.5,4,observed
549_3,5,Clupea harengus,21.5,21.5,1,observed
549_3,5,Enchelyopus cimbrius,22.16666667,66.5,3,observed
549_3,5,Eutrigla gurnardus,19.5,136.5,7,observed
549_3,5,Gadus morhua,31.61538462,822,26,observed
549_3,5,Glyptocephalus cynoglossus,22.53488372,969,43,observed
549_3,5,Helicolenus dactylopterus,13.5,13.5,1,observed
549_3,5,Limanda limanda,21,21,1,observed
549_3,5,Lophius piscatorius,23.5,47,2,observed
549_3,5,Melanogrammus aeglefinus,21.77777778,196,9,observed
549_3,5,Merlangius merlangus,16.5,16.5,1,observed
549_3,5,Microstomus kitt,21.5,21.5,1,observed
549_3,5,Mullus surmuletus,26.5,26.5,1,observed
549_3,5,Trisopterus esmarkii,12.16666667,36.5,3,observed
559_1,6,Enchelyopus cimbrius,29.75,59.5,2,observed
559_1,6,Callionymus lyra,17.5,35,2,observed
559_1,6,Clupea harengus,21.5,43,2,observed
559_1,6,Eutrigla gurnardus,14,14,1,observed
559_1,6,Gadus morhua,35.38461538,920,26,observed
559_1,6,Hippoglossoides platessoides,16.5952381,348.5,21,observed
559_1,6,Glyptocephalus cynoglossus,23.76190476,499,21,observed
559_1,6,Lophius piscatorius,21,21,1,observed
559_1,6,Melanogrammus aeglefinus,21,21,1,observed
559_1,6,Microstomus kitt,20.5,41,2,observed
559_1,6,Myxine glutinosa,24.83333333,74.5,3,observed
559_1,6,Pleuronectes platessa,17.5,17.5,1,observed
559_1,6,Pollachius virens,34.5,34.5,1,observed
559_1,6,Trisopterus luscus,25.25,50.5,2,observed
564_1,7,Hippoglossoides platessoides,17.5,192.5,11,observed
564_1,7,Enchelyopus cimbrius,25.83333333,77.5,3,observed
564_1,7,Clupea harengus,25.5,51,2,observed
564_1,7,Eutrigla gurnardus,13,13,1,observed
564_1,7,Gadus morhua,34.43939394,1136.5,33,observed
564_1,7,Glyptocephalus cynoglossus,23.83333333,286,12,observed
564_1,7,Lycodes vahlii,26,26,1,observed
564_1,7,Melanogrammus aeglefinus,22.4375,359,16,observed
564_1,7,Merluccius merluccius,38.5,38.5,1,observed
564_1,7,Pleuronectes platessa,22.5,22.5,1,observed
564_1,7,Pollachius virens,34.83333333,104.5,3,observed
569_1,9,Enchelyopus cimbrius,26.5,53,2,observed
569_1,9,Callionymus lyra,23,23,1,observed
569_1,9,Clupea harengus,21.5,64.5,3,observed
569_1,9,Eutrigla gurnardus,17.5,17.5,1,observed
569_1,9,Gadus morhua,32.34848485,1067.5,33,observed
569_1,9,Glyptocephalus cynoglossus,25.21428571,176.5,7,observed
569_1,9,Hippoglossus hippoglossus,19,19,1,observed
569_1,9,Lophius piscatorius,22.5,45,2,observed
569_1,9,Melanogrammus aeglefinus,19.88888889,179,9,observed
569_1,9,Merlangius merlangus,15.71935484,487.3,31,observed
569_1,9,Microstomus kitt,21.5,64.5,3,observed
569_1,9,Molva molva,31,31,1,observed
569_1,9,Platichthys flesus,32,32,1,observed
569_1,9,Pollachius virens,37.5,37.5,1,observed
569_1,9,Sprattus sprattus,13.5,13.5,1,observed
569_1,9,Trisopterus esmarkii,12,12,1,observed
569_1,9,Trisopterus luscus,21,21,1,observed
569_1,9,Hippoglossoides platessoides,13,13,1,observed
569_2,9,Enchelyopus cimbrius,26.5,53,2,observed
569_2,9,Callionymus lyra,23,23,1,observed
569_2,9,Clupea harengus,21.5,64.5,3,observed
569_2,9,Eutrigla gurnardus,17.5,17.5,1,observed
569_2,9,Gadus morhua,32.34848485,1067.5,33,observed
569_2,9,Glyptocephalus cynoglossus,25.21428571,176.5,7,observed
569_2,9,Hippoglossus hippoglossus,19,19,1,observed
569_2,9,Lophius piscatorius,22.5,45,2,observed
569_2,9,Melanogrammus aeglefinus,19.88888889,179,9,observed
569_2,9,Merlangius merlangus,15.71935484,487.3,31,observed
569_2,9,Microstomus kitt,21.5,64.5,3,observed
569_2,9,Molva molva,31,31,1,observed
569_2,9,Platichthys flesus,32,32,1,observed
569_2,9,Pollachius virens,37.5,37.5,1,observed
569_2,9,Sprattus sprattus,13.5,13.5,1,observed
569_2,9,Trisopterus esmarkii,12,12,1,observed
569_2,9,Trisopterus luscus,21,21,1,observed
569_2,9,Hippoglossoides platessoides,13,13,1,observed
569_3,9,Enchelyopus cimbrius,26.5,53,2,observed
569_3,9,Callionymus lyra,23,23,1,observed
569_3,9,Clupea harengus,21.5,64.5,3,observed
569_3,9,Eutrigla gurnardus,17.5,17.5,1,observed
569_3,9,Gadus morhua,32.34848485,1067.5,33,observed
569_3,9,Glyptocephalus cynoglossus,25.21428571,176.5,7,observed
569_3,9,Hippoglossus hippoglossus,19,19,1,observed
569_3,9,Lophius piscatorius,22.5,45,2,observed
569_3,9,Melanogrammus aeglefinus,19.88888889,179,9,observed
569_3,9,Merlangius merlangus,15.71935484,487.3,31,observed
569_3,9,Microstomus kitt,21.5,64.5,3,observed
569_3,9,Molva molva,31,31,1,observed
569_3,9,Platichthys flesus,32,32,1,observed
569_3,9,Pollachius virens,37.5,37.5,1,observed
569_3,9,Sprattus sprattus,13.5,13.5,1,observed
569_3,9,Trisopterus esmarkii,12,12,1,observed
569_3,9,Trisopterus luscus,21,21,1,observed
569_3,9,Hippoglossoides platessoides,13,13,1,observed
575_1,10,Enchelyopus cimbrius,28.5,28.5,1,observed
575_1,10,Hippoglossoides platessoides,16.79411765,285.5,17,observed
575_1,10,Anarhichas lupus,33,33,1,observed
575_1,10,Arnoglossus laterna,16.5,33,2,observed
575_1,10,Callionymus lyra,12,12,1,observed
575_1,10,Clupea harengus,22,22,1,observed
575_1,10,Cyclopterus lumpus,27.5,27.5,1,observed
575_1,10,Eutrigla gurnardus,16.9,84.5,5,observed
575_1,10,Gadus morhua,32.78947368,1869,57,observed
575_1,10,Glyptocephalus cynoglossus,23.125,185,8,observed
575_1,10,Limanda limanda,16.375,65.5,4,observed
575_1,10,Lophius piscatorius,21.16666667,63.5,3,observed
575_1,10,Melanogrammus aeglefinus,21.08333333,126.5,6,observed
575_1,10,Merlangius merlangus,15.5,15.5,1,observed
575_1,10,Microstomus kitt,21.5,43,2,observed
580_1,11,Chimaera monstrosa,37.33333333,224,6,observed
580_1,11,Hippoglossoides platessoides,21.16666667,127,6,observed
580_1,11,Enchelyopus cimbrius,23.33333333,70,3,observed
580_1,11,Gadus morhua,35.68965517,1035,29,observed
580_1,11,Glyptocephalus cynoglossus,22.82352941,388,17,observed
580_1,11,Limanda limanda,21.5,43,2,observed
580_1,11,Lophius piscatorius,20,20,1,observed
580_1,11,Lycodes vahlii,31.25,62.5,2,observed
580_1,11,Merlangius merlangus,12,12,1,observed
580_1,11,Merluccius merluccius,36.33333333,218,6,observed
580_1,11,Myxine glutinosa,22.5,67.5,3,observed
580_1,11,Pollachius virens,35.75,71.5,2,observed
580_1,11,Trachurus trachurus,35.5,35.5,1,observed
585_1,12,Hippoglossoides platessoides,19,19,1,observed
585_1,12,Enchelyopus cimbrius,30.5,30.5,1,observed
585_1,12,Gadus morhua,37.5,37.5,1,observed
585_1,12,Glyptocephalus cynoglossus,20.5,20.5,1,observed
585_1,12,Helicolenus dactylopterus,16,16,1,observed
585_1,12,Lycodes vahlii,24.5,24.5,1,observed
585_1,12,Melanogrammus aeglefinus,35.5,35.5,1,observed
585_1,12,Merluccius merluccius,34.5,34.5,1,observed
585_1,12,Trachurus trachurus,25.5,25.5,1,observed
585_1,12,uninera,43.5,43.5,1,observed
585_1,12,Gadus morhua,,,1,landed
580_1,11,Melanogrammus aeglefinus,,,2,landed
544_1,4,Lophius piscatorius,,,6,landed
544_2,4,Lophius piscatorius,,,6,landed
544_3,4,Lophius piscatorius,,,6,landed
534_1,2,Nephrops norvegicus,,,15,landed
538_1,3,Nephrops norvegicus,,,15,landed
538_2,3,Nephrops norvegicus,,,15,landed
538_3,3,Nephrops norvegicus,,,15,landed
544_1,4,Nephrops norvegicus,,,15,landed
544_2,4,Nephrops norvegicus,,,15,landed
544_3,4,Nephrops norvegicus,,,15,landed
534_1,2,Gadus morhua,,,29,landed
544_1,4,Gadus morhua,,,29,landed
544_2,4,Gadus morhua,,,29,landed
544_3,4,Gadus morhua,,,29,landed
538_1,3,Gadus morhua,,,30,landed
538_2,3,Gadus morhua,,,30,landed
538_3,3,Gadus morhua,,,30,landed
585_1,12,Molva molva,,,34,landed
544_1,4,Hippoglossoides platessoides,,,37,landed
544_1,4,Glyptocephalus cynoglossus,,,37,landed
544_2,4,Hippoglossoides platessoides,,,37,landed
544_2,4,Glyptocephalus cynoglossus,,,37,landed
544_3,4,Hippoglossoides platessoides,,,37,landed
544_3,4,Glyptocephalus cynoglossus,,,37,landed
559_1,6,Glyptocephalus cynoglossus,,,37,landed
564_1,7,Glyptocephalus cynoglossus,,,37,landed
580_1,11,Merlangius merlangus,,,37,landed
580_1,11,Hippoglossoides platessoides,,,37,landed
585_1,12,Glyptocephalus cynoglossus,,,37,landed
538_1,3,Melanogrammus aeglefinus,,,41,landed
538_2,3,Melanogrammus aeglefinus,,,41,landed
538_3,3,Melanogrammus aeglefinus,,,41,landed
544_1,4,Merlangius merlangus,,,41,landed
544_2,4,Merlangius merlangus,,,41,landed
544_3,4,Merlangius merlangus,,,41,landed
585_1,12,Pollachius virens,,,42,landed
538_1,3,Lophius piscatorius,,,43,landed
538_2,3,Lophius piscatorius,,,43,landed
538_3,3,Lophius piscatorius,,,43,landed
585_1,12,Melanogrammus aeglefinus,,,43,landed
564_1,7,Lophius piscatorius,,,46,landed
559_1,6,Gadus morhua,,,59,landed
534_1,2,Glyptocephalus cynoglossus,,,74,landed
538_1,3,Glyptocephalus cynoglossus,,,74,landed
538_2,3,Glyptocephalus cynoglossus,,,74,landed
538_3,3,Glyptocephalus cynoglossus,,,74,landed
534_1,2,Melanogrammus aeglefinus,,,82,landed
559_1,6,Nephrops norvegicus,,,91,landed
585_1,12,Amblyraja radiata,,,94,landed
580_1,11,Lophius piscatorius,,,102,landed
575_1,10,Nephrops norvegicus,,,121,landed
585_1,12,Lophius piscatorius,,,159,landed
569_1,9,Nephrops norvegicus,,,197,landed
569_2,9,Nephrops norvegicus,,,197,landed
569_3,9,Nephrops norvegicus,,,197,landed
544_1,4,Melanogrammus aeglefinus,,,205,landed
544_2,4,Melanogrammus aeglefinus,,,205,landed
544_3,4,Melanogrammus aeglefinus,,,205,landed
564_1,7,Melanogrammus aeglefinus,,,209,landed
549_3,5,Nephrops norvegicus,,,303,landed
549_2,5,Nephrops norvegicus,,,303,landed
549_1,5,Nephrops norvegicus,,,303,landed
